Comment,Designator,Footprint,LCSC
1K,"R13,R3,R9",R_0402_1005Metric,C11702
"PRTR5V0U2X,215",D1,SOT-143,C12333
USB_B_Micro,J1,USB_Micro-B_Molex_47346-0001,C132560
.1uF,C15,C_0805_2012Metric,C150376
100nF,"C10,C11,C6,C7,C9",C_0402_1005Metric,C1525
20pF,"C2,C3",C_0402_1005Metric,C1554
4.7nF,C1,C_0805_2012Metric,C1744
PMEG2005EL,D2,D_SOD-323,C179428
32.768KHz,Q1,Crystal_SMD_Abracon_ABS25-4Pin_8.0x3.8mm,C179637
6N138,U3,SOP-8_6.605x9.655mm_P2.54mm,C188666
10uF,"C4,C5",C_0603_1608Metric,C19702
DIN-5,"JMIDIIN1,JMIDIOUT1",Deltron-671-0501-5,C20611696
1N4148,D4,D_SOD-323,C2128
LED,D3,LED_0603_1608Metric,C2286
4.7uF,C12,C_0402_1005Metric,C23733
220,"R10,R11,R12",R_0402_1005Metric,C25091
10k,"R14,R15,R5",R_0402_1005Metric,C25104
39,R2,R_0402_1005Metric,C25109
100k,R6,R_0402_1005Metric,C25741
10K,"R4,R7,R8",R_0402_1005Metric,C25744
1M,R1,R_0402_1005Metric,C26083
PCF8523T,IC1,SOP-8_3.9x4.9mm_P1.27mm,C2651516
AMPHENOL_114-00841-68,J3,AMPHENOL_114-00841-68,C2848817
PJ-320A,J8,PJ-320A,C2884984
32.768KHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
2X3_SMD_MALE,J2,2X3_SMT,C3294461
AP7215-33YG-13,U2,SOT-89-3,C460367
1uF,"C13,C14,C8",C_0402_1005Metric,C52923
ATSAMD21G18A-48,U1,TQFP-48_7x7mm_P0.5mm,C78624
BLM18PG471SN1D,L1,L_0603_1608Metric,C97853
CR1220-2,IC2,CR12202,
W25Q128JVS,U4,SOIC-8W_5.3x5.3mm_P1.27mm,
