Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7nF,C_0805_2012Metric,27.9,-4.8,180.0,top
C10,100nF,C_0402_1005Metric,48.9,-21.4,180.0,top
C11,100nF,C_0402_1005Metric,40.5,-26.9099,-90.0,top
C12,4.7uF,C_0402_1005Metric,41.5,-26.9099,-90.0,top
C13,1uF,C_0402_1005Metric,45.42,-1.0,180.0,top
C14,1uF,C_0402_1005Metric,43.0,-1.0,180.0,top
C15,.1uF,C_0805_2012Metric,40.259,-11.303,90.0,top
C16,100nF,C_0402_1005Metric,28.222,-21.59,0.0,top
C2,20pF,C_0402_1005Metric,35.446,-27.8085,0.0,top
C3,20pF,C_0402_1005Metric,35.446,-30.3085,0.0,top
C4,10uF,C_0603_1608Metric,36.375,-40.949,90.0,top
C5,10uF,C_0603_1608Metric,43.125,-41.849,180.0,top
C6,100nF,C_0402_1005Metric,71.3,-45.7,0.0,top
C7,100nF,C_0402_1005Metric,48.9,-20.4,0.0,top
C8,1uF,C_0402_1005Metric,33.49,-20.4,180.0,top
C9,100nF,C_0402_1005Metric,38.4,-14.1,0.0,top
D1,"PRTR5V0U2X,215",SOT-143,36.0671,-9.02,0.0,top
D2,PMEG2005EL,D_SOD-323,32.8,-9.0,-90.0,top
D3,LED,LED_0603_1608Metric,18.5025,-4.75,0.0,top
D4,1N4148,D_SOD-323,16.637,-31.496,-90.0,top
IC1,PCF8523T,SOP-8_3.9x4.9mm_P1.27mm,42.5,-36.449,180.0,top
IC2,CR1220-2,CR12202,39.524,-52.07,180.0,top
J1,USB_B_Micro,USB_Micro-B_Molex_47346-0001,35.0511,-3.305,180.0,top
J2,2X3_SMD_MALE,2X3_SMT,25.654,-14.859,180.0,top
J3,AMPHENOL_114-00841-68,AMPHENOL_114-00841-68,4.991,-46.5615,-90.0,top
J8,PJ-320A,PJ-320A,73.377,-34.036,180.0,top
JMIDIIN1,DIN-5,Deltron-671-0501-5,8.7,-19.0,90.0,top
JMIDIOUT1,DIN-5,Deltron-671-0501-5,71.22,-19.0,-90.0,top
L1,BLM18PG471SN1D,L_0603_1608Metric,42.9,-27.4099,90.0,top
Q1,32.768KHz,Crystal_SMD_Abracon_ABS25-4Pin_8.0x3.8mm,51.054,-32.512,0.0,top
R1,1M,R_0402_1005Metric,28.0,-3.2,180.0,top
R10,220,R_0402_1005Metric,18.288,-29.464,-90.0,top
R11,47,R_0805_2012Metric,53.76,-19.0,0.0,top
R12,47,R_0805_2012Metric,53.75,-16.0,180.0,top
R13,1K,R_0402_1005Metric,39.675,-41.849,180.0,top
R14,10k,R_0402_1005Metric,58.392,-33.892,-90.0,top
R15,10k,R_0402_1005Metric,62.992,-33.782,-90.0,top
R2,39,R_0402_1005Metric,30.8601,-9.02,90.0,top
R3,1K,R_0402_1005Metric,26.924,-20.066,180.0,top
R4,10K,R_0402_1005Metric,29.972,-20.066,0.0,top
R5,330,R_0402_1005Metric,18.49,-7.25,180.0,top
R6,100k,R_0402_1005Metric,71.3,-44.7,180.0,top
R7,10k,R_0402_1005Metric,36.475,-37.349,-90.0,top
R8,10k,R_0402_1005Metric,34.475,-37.299,-90.0,top
R9,470,R_0805_2012Metric,33.49,-17.9,180.0,top
U1,ATSAMD21G18A-48,TQFP-48_7x7mm_P0.5mm,40.755,-20.15,90.0,top
U2,AP7215-33YG-13,SOT-89-3,44.3221,-4.6052,-90.0,top
U3,6N138,SOP-8_6.605x9.655mm_P2.54mm,24.638,-27.686,0.0,top
U4,W25Q128JVS,SOIC-8W_5.3x5.3mm_P1.27mm,47.244,-10.922,0.0,top
Y1,32.768KHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,38.1,-28.9099,-90.0,top
